z	velocity	temperature	rho
0.655409	148.728	521.568	0.566282
0.655509	148.919	521.43	0.566156
0.655609	148.845	521.218	0.56614
0.655709	148.628	520.966	0.566204
0.655809	148.684	520.841	0.566141
0.655909	148.701	520.678	0.566122
0.656009	148.566	520.428	0.566172
0.656109	148.612	520.246	0.56614
0.656209	148.662	520.054	0.566136
0.656309	148.657	519.861	0.566143
0.656409	148.634	519.681	0.566151
0.656509	148.646	519.528	0.566141
0.656609	148.525	519.297	0.566223
0.656709	148.658	519.164	0.566189
0.656809	148.436	518.9	0.566289
0.656909	148.471	518.761	0.566271
0.657009	148.504	518.623	0.56626
0.657109	148.277	518.344	0.566394
0.657209	148.241	518.176	0.566404
0.657309	148.025	517.944	0.566509
0.657408	148.07	517.804	0.566513
0.657509	147.917	517.556	0.566618
0.657609	147.78	517.319	0.566698
0.657709	147.884	517.19	0.566645
0.657709	147.884	517.19	0.566645
0.657809	147.693	516.891	0.566768
0.657909	147.833	516.739	0.56672
0.658009	147.81	516.53	0.566755
0.658109	147.635	516.296	0.566856
0.658209	147.671	516.158	0.566855
0.658309	147.666	515.964	0.566893
0.658409	147.652	515.753	0.566937
0.658509	147.66	515.549	0.566972
0.658609	147.563	515.282	0.567057
0.658709	147.516	515.036	0.567113
0.658809	147.485	514.794	0.567184
0.658909	147.344	514.507	0.567306
0.659009	147.37	514.338	0.567313
0.659109	147.278	514.117	0.567408
0.659209	147.116	513.847	0.567552
0.659309	147.131	513.675	0.567587
0.659409	147.057	513.439	0.5677
0.659508	147.119	513.285	0.567715
0.659509	147.133	513.292	0.567706
0.659609	147.078	513.053	0.567793
0.659709	146.966	512.767	0.567935
0.659809	146.918	512.509	0.568039
0.659909	146.862	512.255	0.568129
0.660009	146.723	511.965	0.568271
0.660109	146.802	511.786	0.568286
0.660209	146.603	511.443	0.568474
0.660306	146.555	511.212	0.568555
0.660308	146.587	511.228	0.568534
0.660409	146.442	510.906	0.568728
0.660509	146.425	510.635	0.568852
0.660609	146.353	510.309	0.569
0.660709	146.105	509.911	0.569241
0.660809	146.152	509.77	0.569244
0.660909	146.049	509.497	0.569405
0.661009	145.955	509.228	0.56954
0.661109	145.84	508.99	0.569669
0.661208	145.754	508.804	0.569772
0.661309	145.608	508.555	0.569955
0.661409	145.372	508.228	0.57022
0.661509	145.181	507.922	0.570448
0.661609	145.107	507.692	0.570579
0.661709	145.061	507.477	0.570688
0.661809	144.884	507.157	0.570922
0.661909	144.816	506.886	0.571085
0.662009	144.83	506.653	0.57119
0.662109	144.721	506.306	0.571397
0.662208	144.618	505.97	0.57159
0.662309	144.498	505.621	0.571808
0.662409	144.516	505.376	0.57192
0.662509	144.473	505.095	0.572085
0.662609	144.18	504.664	0.572436
0.662709	143.943	504.31	0.572734
0.662809	143.754	503.99	0.572998
0.662909	143.557	503.643	0.573285
0.663009	143.471	503.347	0.573492
0.663109	143.251	502.921	0.573829
0.663209	143.128	502.585	0.574076
0.663309	143.072	502.303	0.574262
0.663409	143.05	501.994	0.574469
0.663509	142.891	501.532	0.574827
0.663609	142.888	501.211	0.574999
0.663708	142.828	500.879	0.575198
0.663709	142.831	500.879	0.575196
0.663809	142.828	500.589	0.575374
0.663909	142.67	500.098	0.57576
0.664009	142.609	499.703	0.57601
0.664109	142.481	499.278	0.576304
0.664209	142.344	498.772	0.5767
0.664309	142.304	498.328	0.577
0.664409	142.209	497.941	0.577262
0.664509	142.041	497.572	0.577554
0.664609	141.817	497.179	0.577917
0.664709	141.713	496.895	0.578153
0.664809	141.462	496.415	0.578589
0.664909	141.336	495.976	0.578931
0.665009	141.232	495.58	0.579214
0.665109	141.104	495.186	0.579515
0.665209	141.015	494.793	0.579811
0.665309	140.858	494.314	0.5802
0.665409	141.008	494.087	0.580266
