zz	base	dV_V
-0.180000000    -4000.000000    0.000000000
0.001513045	179.9997001	0.999394043
0.001591381	179.9995409	0.998967545
0.001593522	179.9995357	0.998954079
0.001593983	179.9995336	0.99894848
0.00159868	179.9995071	0.998880119
0.001606116	179.9994937	0.998842595
0.001648607	179.9993808	0.998538001
0.001687611	179.9992153	0.998107924
0.001709765	179.9990972	0.997805079
0.001717642	179.9990514	0.997688117
0.001720388	179.999035	0.997646195
0.00174656	179.998866	0.997216962
0.001818016	179.9982916	0.995771323
0.00183377	179.9981426	0.995398667
0.001847135	179.99801	0.995067236
0.001893958	179.9974996	0.993795548
0.001926267	179.997106	0.992817666
0.001956508	179.9967622	0.991950451
0.001963592	179.9966825	0.991749132
0.001968095	179.9966316	0.991620751
0.001980666	179.9964752	0.991228245
0.001997528	179.9962571	0.990679518
0.002014589	179.9960292	0.990103598
0.002021038	179.9959409	0.989880345
0.002054724	179.9954612	0.988666351
0.002066534	179.9952859	0.988222537
0.002130199	179.9942762	0.985667094
0.002152707	179.9938932	0.984697926
0.002170196	179.9935863	0.983921125
0.002198867	179.9930654	0.982602795
0.00223967	179.9922861	0.980630495
0.002250689	179.9920681	0.980078529
0.002299677	179.9910186	0.977409208
0.002302815	179.990948	0.977229767
0.002374367	179.9892299	0.972862345
0.00237668	179.9891724	0.972716914
0.002457134	179.987008	0.96722075
0.00246021	179.9869189	0.966993775
0.002498543	179.9857699	0.964061374
0.00255696	179.9838797	0.959222171
0.002574891	179.9832658	0.957647089
0.002575994	179.9832278	0.957549793
0.002615672	179.9818243	0.953951828
0.002623497	179.981535	0.953205536
0.002657907	179.9802209	0.949812661
0.002669395	179.9797671	0.948639724
0.002671541	179.9796814	0.94841807
0.002687303	179.9790438	0.946769108
0.00272596	179.9774207	0.942567789
0.002740802	179.976775	0.940895547
0.002750226	179.9763622	0.939821798
0.002777138	179.9751532	0.936668681
0.002791487	179.9744905	0.934934968
0.002801254	179.9740322	0.933733952
0.002832676	179.9725245	0.92980734
0.002913863	179.9683483	0.918802405
0.002997526	179.963621	0.906165381
0.003090482	179.9578641	0.890581106
0.003118514	179.9560239	0.885562684
0.003126714	179.9554765	0.88406669
0.003170904	179.9524759	0.875686015
0.003199879	179.9504386	0.869967555
0.003203682	179.9501672	0.869203908
0.0032641	179.9458055	0.856732267
0.00334929	179.9393371	0.837676926
0.003383302	179.9366416	0.829620137
0.003417523	179.9338886	0.821252409
0.003418043	179.9338466	0.82112325
0.003526994	179.9247885	0.792706966
0.003553916	179.9224754	0.78527492
0.003554682	179.9224092	0.78506111
0.003564251	179.9215796	0.782378733
0.003600502	179.9184028	0.772030539
0.00369293	179.9100599	0.744312245
0.003720295	179.9075227	0.735738119
0.003794006	179.9006517	0.711410895
0.003840228	179.8964768	0.695866847
0.003889034	179.8921804	0.679211972
0.003909076	179.8904493	0.672300655
0.003931812	179.8885089	0.664409471
0.003943232	179.8875438	0.6604257
0.00396783	179.8854862	0.651798265
0.004063697	179.8777453	0.617571387
0.00414333	179.8716523	0.588411601
0.004216226	179.8663427	0.561138249
0.004260986	179.8632095	0.544117004
0.004279866	179.8619434	0.536764455
0.004340025	179.8581753	0.513726217
0.004358481	179.8568835	0.506955384
0.004456288	179.8508546	0.469908086
0.004548723	179.8453285	0.434910892
0.004558857	179.8446943	0.431139161
0.004579324	179.8433965	0.423561435
0.004725024	179.83375	0.371116104
0.004759789	179.8313833	0.358908412
0.004765238	179.83101	0.357005476
0.004776214	179.8302563	0.353181555
0.004860144	179.8244104	0.324329808
0.004944457	179.8183908	0.296038357
0.0049762	179.8160862	0.285566576
0.005003396	179.8140705	0.276964421
0.005026726	179.812101	0.269719008
0.005051872	179.8097296	0.262048332
0.00508154	179.8066003	0.253183034
0.005147587	179.7983446	0.234165875
