z	velocity	temperature	rho
-0.1683905	100.934	295.287	1.07631
-0.168324	100.964	295.286	1.07617
-0.1682852	100.912	295.291	1.07606
-0.1682364	100.9	295.293	1.07594
-0.16822399999999998	100.86	295.297	1.0759
-0.1682092	100.749	295.308	1.07582
-0.1681478	100.844	295.3	1.07571
-0.168116	100.883	295.297	1.07565
-0.1680739	100.771	295.308	1.07551
-0.16803659999999998	100.891	295.297	1.07547
-0.1680006	100.933	295.294	1.07541
-0.1679623	100.858	295.302	1.07529
-0.1679292	100.742	295.313	1.07516
-0.1678752	100.771	295.312	1.07504
-0.16782619999999998	100.886	295.301	1.07497
-0.16782529999999998	100.887	295.301	1.07497
-0.1677698	100.748	295.316	1.07481
-0.1677487	100.696	295.321	1.07474
-0.1677077	100.646	295.327	1.07461
-0.1676489	100.746	295.318	1.07451
-0.16761679999999998	100.721	295.321	1.07444
-0.167598	100.709	295.322	1.07439
-0.16756369999999998	100.684	295.325	1.0743
-0.1675102	100.722	295.323	1.07418
-0.1674588	100.578	295.337	1.07401
-0.1673988	100.585	295.338	1.07388
-0.1673576	100.531	295.344	1.07377
-0.1673013	100.581	295.34	1.07366
-0.1672447	100.447	295.354	1.07348
-0.1671827	100.625	295.338	1.07342
-0.167178	100.623	295.338	1.07341
-0.1671407	100.554	295.345	1.0733
-0.1670894	100.684	295.334	1.07325
-0.1670673	100.67	295.335	1.07319
-0.16705019999999998	100.647	295.338	1.07314
-0.16700189999999998	100.553	295.348	1.07299
-0.1669409	100.62	295.342	1.07287
-0.166933	100.634	295.341	1.07286
-0.16688809999999998	100.605	295.345	1.07276
-0.16683699999999999	100.536	295.352	1.07261
-0.16677019999999998	100.49	295.358	1.07244
-0.1667205	100.593	295.349	1.07236
-0.1666981	100.593	295.349	1.07231
-0.16667189999999998	100.558	295.353	1.07224
-0.1666392	100.513	295.358	1.07215
-0.1666116	100.455	295.364	1.07207
-0.1665669	100.354	295.375	1.07195
-0.1665235	100.428	295.368	1.07186
-0.1664861	100.409	295.37	1.07176
-0.1664307	100.389	295.373	1.07162
-0.166379	100.46	295.367	1.07153
-0.1663314	100.439	295.37	1.07141
-0.1663182	100.411	295.373	1.07136
-0.1662667	100.353	295.38	1.07123
-0.16623749999999998	100.366	295.379	1.07117
-0.1662036	100.387	295.377	1.0711
-0.1661675	100.383	295.378	1.071
-0.1661187	100.35	295.382	1.07087
-0.16605309999999998	100.295	295.389	1.07071
-0.165991	100.229	295.396	1.07054
-0.1659405	100.358	295.384	1.07045
-0.1658757	100.207	295.4	1.07023
-0.16581579999999999	100.34	295.388	1.07012
-0.1657426	100.253	295.398	1.06991
-0.16567379999999998	100.535	295.372	1.06984
-0.1656056	100.371	295.389	1.06961
-0.1655468	100.37	295.39	1.06945
-0.16550979999999998	100.325	295.395	1.06934
-0.165451	100.292	295.399	1.06917
-0.165397	100.15	295.413	1.06897
-0.1653429	100.373	295.393	1.06892
-0.1652962	100.316	295.399	1.06879
-0.1652449	100.334	295.398	1.06867
-0.1651904	100.099	295.421	1.06845
-0.1651366	100.141	295.418	1.06833
-0.16510419999999998	100.189	295.414	1.06827
-0.1650507	100.179	295.416	1.06814
-0.164998	100.173	295.417	1.06799
-0.1649833	100.229	295.412	1.06798
-0.1649492	100.146	295.421	1.06786
-0.1649115	100.118	295.424	1.06777
-0.1648683	99.9924	295.437	1.06762
-0.1648191	100.081	295.429	1.06753
-0.16480309999999998	100.129	295.425	1.06751
-0.1647748	100.118	295.426	1.06743
-0.1647176	100.211	295.418	1.06732
-0.1647151	100.214	295.418	1.06731
-0.1646611	100.273	295.413	1.0672
-0.1646342	100.204	295.42	1.06711
-0.16460039999999998	100.085	295.432	1.06698
-0.1645355	100.102	295.431	1.06681
-0.16453389999999998	100.103	295.431	1.06681
-0.1645218	100.083	295.433	1.06676
-0.1644564	100.134	295.429	1.06661
-0.1644	100.193	295.425	1.06649
-0.1643539	100.014	295.442	1.06632
-0.1642889	100.128	295.432	1.06618
-0.1642786	100.136	295.432	1.06616
-0.1642527	100.106	295.435	1.06608
-0.1642024	100.085	295.438	1.06596
-0.1641879	100.045	295.442	1.06591
-0.1641288	99.8608	295.46	1.06568
-0.1640719	100.021	295.446	1.06561
-0.1640333	99.9986	295.449	1.06551
-0.16399	99.9974	295.449	1.0654
-0.1639744	100.022	295.447	1.06536
-0.163933	100.001	295.45	1.06525
-0.1639025	100.007	295.45	1.06517
-0.1638483	99.9306	295.458	1.065
-0.163835	99.9155	295.459	1.06496
-0.16378389999999998	99.8799	295.463	1.06479
-0.16372609999999999	99.9592	295.457	1.06466
-0.1636879	99.9053	295.462	1.06454
-0.1636398	100.006	295.454	1.06444
-0.16363139999999998	100.021	295.452	1.06442
-0.1636069	99.9959	295.455	1.06435
-0.1635932	100.008	295.454	1.06432
-0.1635394	99.9039	295.464	1.06415
-0.1634882	99.8451	295.471	1.064
-0.1634302	100.007	295.456	1.0639
-0.1633712	99.9732	295.46	1.06373
-0.1633086	99.8404	295.474	1.06352
-0.163272	99.8154	295.477	1.0634
-0.1632191	99.893	295.47	1.06327
-0.1631514	99.9527	295.465	1.06311
-0.163086	100.036	295.458	1.06295
-0.163046	99.8742	295.474	1.06279
-0.1629955	99.9931	295.464	1.0627
-0.16296729999999998	100.024	295.461	1.06264
-0.16293639999999998	99.983	295.466	1.06255
-0.1628918	99.9112	295.473	1.06242
-0.16288149999999998	99.8859	295.475	1.06239
-0.1628118	99.7396	295.49	1.06217
-0.1628084	99.7514	295.489	1.06216
-0.1627959	99.7823	295.486	1.06214
-0.1627401	99.7578	295.489	1.06199
-0.16272219999999998	99.7621	295.489	1.06195
-0.1626983	99.7675	295.489	1.06189
-0.1626443	99.6395	295.502	1.06172
-0.1625802	99.7438	295.493	1.06157
-0.1625202	99.6406	295.503	1.06137
-0.16251849999999998	99.6492	295.502	1.06137
-0.1624633	99.7442	295.494	1.06126
-0.1624453	99.7149	295.497	1.0612
-0.1623936	99.7047	295.499	1.06106
-0.1623711	99.7215	295.497	1.06101
-0.162302	99.6051	295.509	1.0608
-0.1622539	99.8221	295.489	1.06074
-0.16222599999999998	99.7193	295.499	1.06063
-0.1621703	99.7345	295.499	1.06049
-0.16212089999999998	99.7023	295.502	1.06035
-0.1620844	99.6881	295.504	1.06024
-0.1620249	99.5734	295.515	1.06004
-0.1619765	99.6432	295.51	1.05994
-0.1619445	99.7421	295.501	1.05989
-0.1619142	99.6607	295.509	1.05978
-0.16187079999999998	99.575	295.517	1.05963
-0.1618157	99.6535	295.511	1.0595
-0.1617874	99.6199	295.514	1.0594
-0.1617632	99.6517	295.512	1.05936
-0.1617054	99.6357	295.514	1.0592
-0.16166049999999998	99.6897	295.509	1.0591
-0.161604	99.7745	295.502	1.05898
-0.1615942	99.8011	295.5	1.05896
-0.16155	99.7475	295.506	1.05882
-0.16149619999999998	99.6758	295.513	1.05866
-0.1614352	99.7018	295.511	1.05849
-0.1614007	99.6646	295.515	1.05838
-0.1613396	99.7087	295.512	1.05822
-0.1613344	99.7061	295.512	1.05821
-0.1612751	99.6372	295.519	1.05804
-0.1612582	99.6372	295.519	1.058
-0.1612384	99.6481	295.519	1.05795
-0.161213	99.5814	295.525	1.05787
-0.1611587	99.5403	295.529	1.05771
-0.1611129	99.6205	295.522	1.0576
-0.16105919999999999	99.6538	295.52	1.05745
-0.1610102	99.6544	295.521	1.05733
-0.1609458	99.7058	295.517	1.0572
-0.1608982	99.7564	295.512	1.05707
-0.1608946	99.7648	295.512	1.05706
-0.1608467	99.6105	295.527	1.05688
-0.1607919	99.652	295.523	1.05674
-0.1607371	99.6645	295.523	1.0566
-0.1607129	99.7261	295.517	1.05656
-0.1606916	99.7456	295.516	1.05652
-0.16063719999999998	99.7157	295.519	1.05637
-0.16062559999999998	99.7642	295.515	1.05635
-0.16061979999999998	99.7712	295.514	1.05634
-0.1605796	99.6812	295.523	1.05619
-0.16053979999999998	99.6186	295.53	1.05606
-0.1604685	99.6519	295.527	1.05588
-0.1604313	99.5425	295.538	1.05575
-0.1603635	99.6482	295.529	1.05559
-0.16030729999999999	99.6013	295.534	1.05541
-0.1602586	99.6206	295.533	1.05527
-0.1602016	99.7763	295.519	1.05518
-0.1601848	99.7644	295.52	1.05514
-0.1601355	99.5669	295.539	1.05496
-0.160073	99.6346	295.533	1.0548
-0.1600701	99.6395	295.533	1.0548
-0.1600449	99.6494	295.532	1.05472
-0.15997899999999998	99.5953	295.538	1.05452
-0.1599188	99.7266	295.526	1.05439
-0.1599089	99.7495	295.524	1.05438
-0.1598663	99.6976	295.53	1.05424
-0.1598299	99.7183	295.528	1.05415
-0.1597741	99.6797	295.532	1.05399
-0.1597524	99.7165	295.529	1.05394
-0.1597004	99.5977	295.541	1.05374
-0.1596405	99.613	295.54	1.05359
-0.15958509999999998	99.7648	295.526	1.0535
-0.1595589	99.7676	295.526	1.05343
-0.1595464	99.7438	295.529	1.05338
-0.15948769999999998	99.6671	295.536	1.05319
-0.15944339999999999	99.6683	295.537	1.05307
-0.1594062	99.7201	295.533	1.05299
-0.1593899	99.7097	295.534	1.05295
-0.1593301	99.7143	295.534	1.05278
-0.1593055	99.6866	295.537	1.05269
-0.1592614	99.7484	295.532	1.05258
-0.1592122	99.692	295.537	1.05243
-0.1591467	99.8902	295.52	1.05231
-0.1591436	99.8889	295.52	1.0523
-0.1591033	99.8089	295.528	1.05216
-0.1590796	99.8321	295.526	1.0521
-0.1590258	99.7534	295.534	1.05192
-0.1589822	99.8747	295.523	1.05183
-0.1589283	99.8454	295.527	1.05167
-0.1588821	99.8472	295.527	1.05155
-0.1588216	99.8318	295.529	1.05135
-0.1588065	99.8308	295.529	1.0513
-0.1587946	99.8303	295.529	1.05127
-0.1587945	99.8303	295.529	1.05127
-0.1587302	99.6987	295.542	1.05105
-0.15867119999999998	99.8233	295.531	1.05092
-0.1586091	99.8315	295.531	1.05076
-0.15854959999999998	99.7947	295.535	1.05058
-0.1584893	99.9038	295.525	1.05045
-0.158459	99.9227	295.524	1.05038
-0.15844619999999998	99.8659	295.53	1.05033
-0.1583887	99.9323	295.524	1.05021
-0.1583416	99.8615	295.531	1.05005
-0.1582902	99.8205	295.536	1.04988
-0.1582582	99.7941	295.538	1.04978
-0.158249	99.7492	295.543	1.04974
-0.15820479999999998	99.949	295.525	1.04967
-0.1581694	100.04	295.517	1.0496
-0.158152	100.011	295.519	1.04954
-0.1580877	99.7745	295.542	1.0493
-0.1580329	99.9046	295.531	1.04921
-0.1579913	100.037	295.519	1.04913
-0.1579515	99.9719	295.525	1.04898
-0.15790289999999998	99.8911	295.533	1.04882
-0.1578442	100.038	295.521	1.04872
-0.157774	100.102	295.515	1.04855
-0.15770879999999998	99.9994	295.526	1.04834
-0.1576444	100.077	295.519	1.04817
-0.1575886	99.9638	295.53	1.04796
-0.1575295	100.036	295.524	1.04783
-0.15748109999999998	100.018	295.526	1.04769
-0.1574321	100.131	295.516	1.04759
-0.1574181	100.141	295.516	1.04755
-0.1573514	100.082	295.522	1.04735
