# Range file name:,BSA16C.txt,BSA16C.txt.1,BSA16C.txt.2,BSA16C.txt.3,BSA16C.txt.4,BSA16C.txt.5,BSA16C.txt.6,BSA16C.txt.7,BSA16C.txt.8,BSA16C.txt.9,BSA16C.txt.10,BSA16C.txt.11,BSA16C.txt.12,BSA16C.txt.13,BSA16C.txt.14,BSA16C.txt.15,BSA16C.txt.16,BSA16C.txt.17,BSA16C.txt.18,BSA16C.txt.19,BSA16C.txt.20,BSA16C.txt.21,BSA16C.txt.22,BSA16C.txt.23,BSA16C.txt.24,BSA16C.txt.25,BSA16C.txt.26,BSA16C.txt.27,BSA16C.txt.28,BSA16C.txt.29,BSA16C.txt.30,BSA16C.txt.31,BSA16C.txt.32,BSA16C.txt.33,BSA16C.txt.34,BSA16C.txt.35,BSA16C.txt.36,BSA16C.txt.37,BSA16C.txt.38,BSA16C.txt.39
# Raw file name:,251001_BSA_CIU_high_CA.raw,251001_BSA_CIU_high_CB.raw,251001_BSA_CIU_high_CC.raw,251001_BSA_CIU_high_CD.raw,251001_BSA_CIU_high_CE.raw,251001_BSA_CIU_high_CF.raw,251001_BSA_CIU_high_CG.raw,251001_BSA_CIU_high_CH.raw,251001_BSA_CIU_high_CI.raw,251001_BSA_CIU_high_CJ.raw,251001_BSA_CIU_high_CK.raw,251001_BSA_CIU_high_CL.raw,251001_BSA_CIU_high_CM.raw,251001_BSA_CIU_high_CN.raw,251001_BSA_CIU_high_CO.raw,251001_BSA_CIU_high_CP.raw,251001_BSA_CIU_high_CQ.raw,251001_BSA_CIU_high_CR.raw,251001_BSA_CIU_high_CS.raw,251001_BSA_CIU_high_CT.raw,251001_BSA_CIU_high_CU.raw,251001_BSA_CIU_high_CV.raw,251001_BSA_CIU_high_CW.raw,251001_BSA_CIU_high_CX.raw,251001_BSA_CIU_high_CY.raw,251001_BSA_CIU_high_CZ.raw,251001_BSA_CIU_high_DA.raw,251001_BSA_CIU_high_DB.raw,251001_BSA_CIU_high_DC.raw,251001_BSA_CIU_high_DD.raw,251001_BSA_CIU_high_DE.raw,251001_BSA_CIU_high_DF.raw,251001_BSA_CIU_high_DG.raw,251001_BSA_CIU_high_DH.raw,251001_BSA_CIU_high_DI.raw,251001_BSA_CIU_high_DJ.raw,251001_BSA_CIU_high_DK.raw,251001_BSA_CIU_high_DL.raw,251001_BSA_CIU_high_DM.raw,251001_BSA_CIU_high_DN.raw
17300.5,74.0,34.0,72.0,0.0,22.0,23.0,21.0,0.0,62.0,29.0,0.0,51.0,109.0,28.0,58.0,117.0,40.0,0.0,0.0,0.0,36.0,126.0,92.0,0.0,27.0,0.0,49.0,29.0,0.0,0.0,32.0,48.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
17425.7,188.0,33.0,244.0,152.0,173.0,202.0,20.0,103.0,0.0,153.0,0.0,75.0,88.0,22.0,0.0,0.0,0.0,34.0,33.0,136.0,23.0,67.0,42.0,0.0,46.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
14560.1,600.0,742.0,841.0,495.0,621.0,1011.0,1057.0,313.0,82.0,49.0,34.0,39.0,24.0,59.0,40.0,0.0,0.0,81.0,22.0,71.0,0.0,0.0,0.0,33.0,0.0,0.0,29.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
13692.6,2630.0,3868.0,4693.0,5572.0,7663.0,12573.0,14351.0,8171.0,1854.0,288.0,56.0,103.0,88.0,113.0,102.0,0.0,0.0,0.0,122.0,218.0,80.0,0.0,85.0,76.0,33.0,45.0,42.0,21.0,0.0,0.0,94.0,37.0,62.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
13775.5,31646.0,42985.0,51132.0,61982.0,75609.0,81715.0,77374.0,38873.0,10052.0,730.0,99.0,20.0,22.0,113.0,33.0,0.0,51.0,41.0,48.0,106.0,0.0,0.0,97.0,0.0,71.0,0.0,99.0,0.0,0.0,29.0,39.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
11927.3,121379.0,154948.0,182835.0,194732.0,206496.0,191896.0,161511.0,89782.0,24458.0,2798.0,387.0,294.0,124.0,194.0,0.0,86.0,128.0,201.0,77.0,116.0,95.0,113.0,0.0,0.0,48.0,0.0,0.0,0.0,51.0,32.0,94.0,22.0,96.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0
10068.5,190278.0,237546.0,270889.0,258950.0,267368.0,248514.0,207181.0,125215.0,43230.0,7074.0,1946.0,944.0,389.0,336.0,126.0,271.0,414.0,125.0,245.0,89.0,29.0,61.0,119.0,63.0,0.0,33.0,20.0,0.0,0.0,148.0,0.0,0.0,118.0,0.0,0.0,22.0,0.0,31.0,0.0,0.0
8169.91,173681.0,199373.0,228556.0,212325.0,221252.0,210842.0,194061.0,142663.0,69954.0,14129.0,2639.0,1112.0,992.0,683.0,504.0,585.0,171.0,325.0,234.0,209.0,388.0,22.0,220.0,121.0,0.0,24.0,0.0,111.0,70.0,0.0,33.0,0.0,38.0,0.0,20.0,29.0,0.0,52.0,0.0,0.0
8298.45,87047.0,104201.0,115343.0,102406.0,115347.0,128871.0,144667.0,133910.0,90636.0,24352.0,3993.0,1471.0,916.0,733.0,723.0,398.0,499.0,355.0,163.0,209.0,163.0,191.0,58.0,31.0,46.0,0.0,106.0,150.0,126.0,80.0,117.0,45.0,0.0,118.0,0.0,0.0,0.0,34.0,25.0,0.0
8418.87,22483.0,27215.0,31314.0,27737.0,34685.0,49398.0,84208.0,113885.0,99953.0,35892.0,5371.0,1469.0,490.0,435.0,477.0,351.0,503.0,212.0,110.0,294.0,130.0,44.0,112.0,281.0,137.0,233.0,251.0,242.0,100.0,91.0,188.0,108.0,78.0,78.0,0.0,19.0,0.0,0.0,0.0,0.0
