# Range file name:,BSA15E.txt,BSA15E.txt.1,BSA15E.txt.2,BSA15E.txt.3,BSA15E.txt.4,BSA15E.txt.5,BSA15E.txt.6,BSA15E.txt.7,BSA15E.txt.8,BSA15E.txt.9,BSA15E.txt.10,BSA15E.txt.11,BSA15E.txt.12,BSA15E.txt.13,BSA15E.txt.14,BSA15E.txt.15,BSA15E.txt.16,BSA15E.txt.17,BSA15E.txt.18,BSA15E.txt.19,BSA15E.txt.20,BSA15E.txt.21,BSA15E.txt.22,BSA15E.txt.23,BSA15E.txt.24,BSA15E.txt.25,BSA15E.txt.26,BSA15E.txt.27,BSA15E.txt.28,BSA15E.txt.29,BSA15E.txt.30,BSA15E.txt.31,BSA15E.txt.32,BSA15E.txt.33,BSA15E.txt.34,BSA15E.txt.35,BSA15E.txt.36,BSA15E.txt.37,BSA15E.txt.38,BSA15E.txt.39
# Raw file name:,251001_BSA_CIU_high_EA.raw,251001_BSA_CIU_high_EB.raw,251001_BSA_CIU_high_EC.raw,251001_BSA_CIU_high_ED.raw,251001_BSA_CIU_high_EE.raw,251001_BSA_CIU_high_EF.raw,251001_BSA_CIU_high_EG.raw,251001_BSA_CIU_high_EH.raw,251001_BSA_CIU_high_EI.raw,251001_BSA_CIU_high_EJ.raw,251001_BSA_CIU_high_EK.raw,251001_BSA_CIU_high_EL.raw,251001_BSA_CIU_high_EM.raw,251001_BSA_CIU_high_EN.raw,251001_BSA_CIU_high_EO.raw,251001_BSA_CIU_high_EP.raw,251001_BSA_CIU_high_EQ.raw,251001_BSA_CIU_high_ER.raw,251001_BSA_CIU_high_ES.raw,251001_BSA_CIU_high_ET.raw,251001_BSA_CIU_high_EU.raw,251001_BSA_CIU_high_EV.raw,251001_BSA_CIU_high_EW.raw,251001_BSA_CIU_high_EX.raw,251001_BSA_CIU_high_EY.raw,251001_BSA_CIU_high_EZ.raw,251001_BSA_CIU_high_FA.raw,251001_BSA_CIU_high_FB.raw,251001_BSA_CIU_high_FC.raw,251001_BSA_CIU_high_FD.raw,251001_BSA_CIU_high_FE.raw,251001_BSA_CIU_high_FF.raw,251001_BSA_CIU_high_FG.raw,251001_BSA_CIU_high_FH.raw,251001_BSA_CIU_high_FI.raw,251001_BSA_CIU_high_FJ.raw,251001_BSA_CIU_high_FK.raw,251001_BSA_CIU_high_FL.raw,251001_BSA_CIU_high_FM.raw,251001_BSA_CIU_high_FN.raw
16930.8,0.0,0.0,326.0,0.0,42.0,19.0,0.0,30.0,0.0,0.0,0.0,0.0,19.0,54.0,56.0,0.0,53.0,0.0,0.0,29.0,57.0,120.0,74.0,118.0,128.0,0.0,34.0,36.0,0.0,183.0,23.0,0.0,0.0,83.0,0.0,0.0,45.0,0.0,0.0,0.0
17054.6,0.0,0.0,243.0,0.0,0.0,0.0,45.0,51.0,20.0,0.0,19.0,36.0,159.0,0.0,0.0,52.0,0.0,30.0,34.0,70.0,0.0,106.0,0.0,84.0,55.0,85.0,107.0,86.0,54.0,136.0,39.0,23.0,0.0,99.0,0.0,0.0,0.0,0.0,46.0,0.0
14184.8,0.0,0.0,42.0,0.0,74.0,32.0,98.0,0.0,0.0,71.0,43.0,0.0,24.0,70.0,0.0,53.0,0.0,0.0,118.0,67.0,140.0,36.0,116.0,52.0,78.0,37.0,39.0,190.0,167.0,96.0,37.0,27.0,0.0,52.0,24.0,24.0,0.0,0.0,0.0,20.0
13321.1,59.0,233.0,297.0,200.0,447.0,101.0,610.0,289.0,61.0,42.0,41.0,48.0,0.0,87.0,0.0,152.0,49.0,63.0,63.0,68.0,86.0,67.0,45.0,77.0,112.0,60.0,0.0,0.0,83.0,90.0,36.0,51.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
13421.8,1365.0,1481.0,1622.0,2124.0,2214.0,2609.0,2099.0,1344.0,363.0,178.0,28.0,0.0,142.0,66.0,115.0,26.0,71.0,82.0,95.0,103.0,34.0,94.0,74.0,76.0,55.0,154.0,0.0,137.0,68.0,85.0,81.0,30.0,0.0,30.0,0.0,22.0,0.0,0.0,0.0,44.0
11552.1,5573.0,5464.0,6018.0,6833.0,5759.0,5515.0,6121.0,3198.0,904.0,89.0,0.0,0.0,143.0,104.0,115.0,24.0,74.0,44.0,59.0,121.0,58.0,136.0,56.0,189.0,75.0,65.0,87.0,56.0,78.0,188.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9687.3,6853.0,8497.0,8998.0,9782.0,9947.0,8344.0,8748.0,9383.0,8032.0,3667.0,477.0,0.0,75.0,104.0,68.0,41.0,70.0,86.0,70.0,70.0,116.0,77.0,181.0,58.0,137.0,158.0,0.0,55.0,52.0,68.0,22.0,0.0,59.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
7801.43,7807.0,8216.0,9386.0,11064.0,16145.0,27290.0,57746.0,85897.0,77952.0,37209.0,4303.0,209.0,171.0,121.0,0.0,32.0,128.0,50.0,27.0,147.0,143.0,21.0,0.0,92.0,82.0,22.0,0.0,64.0,0.0,55.0,84.0,0.0,35.0,31.0,0.0,21.0,0.0,0.0,0.0,0.0
7913.88,30190.0,31414.0,36828.0,52571.0,93150.0,163047.0,262597.0,275013.0,246332.0,139926.0,23768.0,2377.0,659.0,58.0,51.0,51.0,127.0,0.0,111.0,96.0,77.0,90.0,34.0,155.0,74.0,24.0,56.0,0.0,78.0,131.0,0.0,0.0,20.0,51.0,0.0,41.0,0.0,0.0,0.0,52.0
8025.96,106567.0,122087.0,127913.0,165628.0,235682.0,344223.0,460448.0,430851.0,377666.0,231249.0,53500.0,6303.0,1494.0,285.0,0.0,98.0,61.0,112.0,58.0,125.0,62.0,79.0,0.0,76.0,31.0,42.0,109.0,68.0,71.0,44.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,75.0,0.0,0.0
